id,StateCounty,HEAT_RISK,INLAND_RISK,FIRE_RISK,DROUGHT_RISK,COASTAL_RISK,WIND_RISK,MEAN_RISK,OVERALL_RISK_PCT,HEAT_RAJ,INLAND_RAJ,FIRE_RAJ,DROUGHT_RAJ,COASTAL_RAJ,WIND_RAJ,MEAN_RAJ,OVERALL_RAJ_PCT,finworry,innerpeace,charity,goodpromo,relationships,depression,volunteer,happiness,resilience,jobsat,purpose,altruism,migmood,vitality,optimism,loneliness,relcomfort,suffering,forgive,hope,corruption,belonging,energy,empathy,govapprove,fearfuture,anxiety,pain,polvoice,lifesat,balance,trusted,discrim,smokehealth,afterlife,delaygrat,gratitude,ptsd,mastery,spiritpun,relcrit,selfesteem,posfunct,drinkhealth,lovedgod,trust,healthlim,believegod,ntweets,rural,population,fin_sec,future_sec,clim_risk,charac_virt,relig,inst_trust,meaning,social,subj_welb,psy_dstrs,physc_cond,econ_stab
1,1001,39.855275,47.931839,42.684407,34.271709,0,80.060691,40.895424837,62.234827264,30,20.35014,37.521008,19.96732,0,50,26.305788982,36.754435107,0.11586037966932,0.00150672863695738,0.369098712446352,0.602905630938831,-0.135175097276265,0.167919213712094,0.79236276849642,0.134842294180541,0.341666752649119,0.370407868093723,0.229080734950532,0.79809804313099,-0.654545454545455,-0.0410715506047974,0.0141883985959063,0.20575893503111,0.347873205093471,0.514963638845022,0.359165424739195,0.254303077827877,0.00873447348734548,0.146084163778995,0.28735632183908,0.113367476070358,-0.50521243977223,0.474382978723404,0.172465934471833,0.514150806334447,0.662897526501767,-0.102737411287597,0.0610519380696168,-0.0352759188889263,0.719452590420332,0.359712230215827,0.84965034965035,0.421376211870419,0.394141283214517,0.798893647394718,0.494446413290576,0.3727846811978,-0.306732223903177,0.109697536276485,0.132048703892455,0.330556302069336,0.305946947145598,0.111019996215227,0.395174722815755,0.329741112349808,851680,2,58805,-0.11586037966932,-0.474382978723404,1.1629200243466,-4.45550371015458,-0.0591458763614164,-0.909022000688709,-48.2465770977423,-6.63899661818009,-3.10190384158928,2.55549824029176,-45.6472341959634,-7.21758074793699
2,1003,40,49.034707,29.262473,17.415556,11.56802,100,41.229625039,64.841338705,31.131081,29.126123,20.832042,10.901766,7.183142,57.307096,26.018593121,37.621475054,0.0538740043446778,0.0888249035692943,0.384408602150538,0.657853344318778,-0.0701305693902275,0.111493354182955,0.830508474576271,0.210199125789218,0.398858075040783,0.463157894736842,0.333365758754864,0.80811232449298,-0.575,0.116159073747798,0.0584735679075302,0.0835537918871252,0.408812729498164,0.448472222222222,0.319444444444444,0.280400369134663,0.0066228204343836,0.227646513782719,0.355202821869489,0.160495821052207,-0.339285714285714,0.428946699432252,0.133401564835638,0.480962755472559,0.702638762511374,0.00232764353801818,0.20903526352852,0.0267123287671233,0.702474526928675,0.379032258064516,0.867910447761194,0.472686733556299,0.490452930728242,0.811001410437236,0.596749226006192,0.338709677419355,-0.330459770114943,0.210324232081911,0.265773052923504,0.173913043478261,0.420779220779221,0.150151228733459,0.31067472306143,0.392315470171891,88428,3,231767,-0.0538740043446778,-0.428946699432252,-0.0948831994872184,0.371612241143158,0.684408927472028,-0.583367094898054,3.94351040780942,0.361091556910702,0.762108606593744,-0.242397936413646,3.74883697109039,0.519034931276834
3,1005,40,36.700183,39.533821,30,0,92.888483,39.648994516,58.471968312,30,14.159049,29.993906,10,0,50.310786,22.641377209,34.100853138,0.0364583333333333,0.111764705882353,0.354838709677419,0.693140794223827,0.00245700245700246,0.0846343467543139,1,0.218880534670008,0.320197044334975,0.542986425339367,0.410828025477707,0.789865871833085,0,0.0875331564986738,0.0744297719087635,-0.0260869565217391,0.5,0.463087248322148,0.428571428571429,0.289377289377289,0.000479616306954437,0.278434940855323,0.343434343434343,0.192771084337349,-0.369230769230769,0.363984674329502,0.130482456140351,0.473584905660377,0.531914893617021,0.0379041248606466,0.153526970954357,0.157894736842105,0.562874251497006,0.430020283975659,0.883720930232558,0.437627811860941,0.523035230352304,0.853658536585366,0.60613810741688,0.162162162162162,-0.533707865168539,0.236111111111111,0.303197353914002,0,0.469230769230769,0.19660014781966,0.289617486338798,0.465753424657534,2988,6,25223,-0.0364583333333333,-0.363984674329502,-0.5148304169877,2.30581796127257,1.23767334300173,1.48490366335886,21.305379636864,3.3792975697467,1.91369196723399,-1.0962409399581,20.1502142968221,3.09003528090708
4,1007,35.049864,42.012693,44.823209,39.56029,0,62.910245,37.337262013,56.485494107,29.174977,19.31097,35.067996,29.197643,0,40.666364,25.427923844,33.037171351,0.0714869281045752,0.0686567164179105,0.426779661016949,0.686956521739131,-0.0310932798395186,0.135714285714286,1,0.188042430086789,0.312775330396476,0.435643564356436,0.370689655172414,0.813953488372093,-0.875,0.069364161849711,0.0612244897959184,0.178082191780822,0.451077396657872,0.419354838709677,0.545454545454545,0.283625730994152,0.00467289719626168,0.261538461538462,0.31294964028777,0.155244755244755,-0.529411764705882,0.446808510638298,0.153723887375114,0.46046511627907,0.635593220338983,-0.0244590780809031,0.131687242798354,0.114285714285714,0.660714285714286,0.4,0.842857142857143,0.354166666666667,0.5,0.794303797468355,0.612903225806452,0.166666666666667,-0.493670886075949,0.245551601423488,0.237745098039216,0.323316283034953,0.516597510373444,0.151639344262295,0.293617021276596,0.405405405405405,1246,1,22293,-0.0714869281045752,-0.446808510638298,-0.0327164650836592,0.522520423871524,1.19813775502639,0.0429912639253643,1.33038984141401,0.409609153865758,0.25562225809083,0.0430176294337498,1.24314022545881,0.195898357157719
5,1009,29.099788,48.611465,39.694268,29.341826,0,31.707006,29.856475584,39.566454352,19.099788,24.904459,29.698514,15.622081,0,19.265393,17.974522293,21.839490446,0.0276243093922652,0.0683930942895086,0.294117647058824,0.653979238754325,-0.125,0.0948275862068965,0.911111111111111,0.197152245345016,0.285335354300872,0.453545232273839,0.263103802672148,0.823529411764706,-0.666666666666667,0.0931034482758621,0.0637636080870918,0.117647058823529,0.46908315565032,0.471505376344086,0.676587301587302,0.306201550387597,0.00113700966458215,0.249457700650759,0.345372460496614,0.138003435770185,-0.421052631578947,0.440329218106996,0.157726180944756,0.5,0.58128078817734,-0.020639834881321,0.11766162992321,0.0545454545454545,0.688574317492417,0.3,0.928571428571429,0.382352941176471,0.408,0.857142857142857,0.551401869158879,0.132352941176471,-0.477272727272727,0.119700748129676,0.268,-0.1,0.525423728813559,0.16409388877141,0.308,0.498426023084995,2097,1,59134,-0.0276243093922652,-0.440329218106996,0.125043787085463,-0.636539411589584,1.55020581604791,-0.127989215130709,-5.22580538861944,-0.798488649933279,0.113341862012999,0.225733419190675,-4.85775049787959,-0.95720246039381
6,1011,39.96385,30,40,30.750113,0,89.132399,37.98463624,55.818346136,30,10,31.057388,14.16629,0,50.004519,22.582015364,33.57659286,0.06,0.0116731517509728,0.434782608695652,0.601226993865031,-0.159744408945687,0.197260273972603,1,0.0939130434782609,0.295081967213115,0.441860465116279,0.292682926829268,0.708609271523179,0,-0.00446428571428571,0,0.263392857142857,0.231707317073171,0.513409961685824,0.625,0.243967828418231,0.00123609394313968,0.129716981132075,0.225806451612903,0.0789724072312084,-0.514285714285714,0.498942917547569,0.222727272727273,0.547445255474453,0.477099236641221,-0.112219451371571,0.0338461538461538,-0.0315789473684211,0.633333333333333,1,1,0.329545454545455,0.413793103448276,0.904761904761905,0.552727272727273,0.45945945945946,-0.333333333333333,0.0260869565217391,0.140495867768595,0.396396396396396,0.357429718875502,0.0943396226415094,0.387387387387387,0.348076923076923,1365,8,10357,-0.06,-0.498942917547569,1.24588306819014,-4.82736514676899,0.183575878605429,0.530132528045837,-51.6849886061887,-7.30766440814343,-3.58304267079511,3.45995581589962,-48.9275258024042,-7.15182490211955
7,1013,40,30,40,30,0,97.158885,39.431777054,59.380383641,30,10,33.235613,15.182772,0,50.904814,23.283387622,34.842200507,0.0210526315789474,0.0381679389312977,0.316239316239316,0.608974358974359,-0.085427135678392,0.130973451327434,1,0.163602941176471,0.302752293577982,0.610687022900763,0.424242424242424,0.76510067114094,0,0.0473588342440802,0.0487483530961792,0.041025641025641,0.384615384615385,0.456375838926175,0.375,0.246031746031746,0.000594399436421275,0.192883895131086,0.335249042145594,0.123870967741936,-0.375,0.389400921658986,0.147727272727273,0.471698113207547,0.586206896551724,-0.0652173913043478,0.125279642058166,-0.0240549828178694,0.692307692307692,0.406926406926407,0.902787579393084,0.393617021276596,0.425974025974026,0.824116743471582,0.55527795128045,0.27962962962963,-0.398268398268398,0.153679653679654,0.202321724709784,0.425250242169842,0.438053097345133,0.143598835000633,0.269430051813472,0.421052631578947,2170,6,19051,-0.0210526315789474,-0.389400921658986,0.315586538358654,-1.64575336058687,0.854997865381887,-0.221570000362648,-13.0947931565688,-1.8681750746673,-0.94689956995929,0.711159858283087,-12.3667317670097,-1.64954890634576
8,1015,28.723887,44.082652,36.389646,20.013624,0,41.757493,28.620345141,38.068119891,18.723887,18.337875,27.933697,10,0,29.950045,17.588555858,22.168483197,0.0642562577922701,0.0324858757062147,0.366037735849057,0.662576687116564,-0.0526415451619012,0.0946745562130178,0.878048780487805,0.206478672692379,0.375,0.460482725982016,0.311177052423343,0.803362200713194,-0.716981132075472,0.0260889292196007,0.0726893676164003,0.148936170212766,0.384748102139406,0.458288884147642,0.287878787878788,0.30802406083305,0.00413627952541635,0.2347186658788,0.322616407982262,0.173232880656461,-0.511777301927195,0.41144097356794,0.141494435612083,0.505107978792189,0.681440443213297,-0.0472405383434198,0.0975482524778299,0.13901905654483,0.72112676056338,0.324561403508772,0.886486486486487,0.448660122048289,0.44183922046285,0.793510324483776,0.548170481019597,0.311538461538462,-0.355357142857143,0.153940718481082,0.184629929767693,0.292035398230089,0.351500789889415,0.142879027728132,0.383444198078344,0.385185185185185,74173,3,116441,-0.0642562577922701,-0.41144097356794,0.241525836689641,-0.639702373645692,0.367424120900934,-0.789673224967167,-10.0291528300796,-1.03164919751819,-0.324992022192255,0.154130216387854,-9.574350704942,-1.59685707152848
9,1017,30,38.072613,34.603317,30,0,65.746302,33.002689377,46.356790677,20.533393,15.378754,29.229045,10,0,41.555356,19.252353205,28.269385926,0.0806972240154939,0.0547818012999072,0.315068493150685,0.650374967675201,-0.108262108262108,0.136323268206039,1,0.149948089187719,0.34375,0.437125748502994,0.351005484460695,0.780821917808219,-0.5,0.0222222222222222,0.0317504917111548,0.182352941176471,0.403508771929825,0.466666666666667,0.5,0.291967219305865,0.00287882753205967,0.181683899556869,0.289405684754522,0.119818927712548,-0.475409836065574,0.477040816326531,0.149331783846601,0.470588235294118,0.647702407002188,-0.0711592836946277,0.0634556574923547,0.0286343612334802,0.67910447761194,0.36094674556213,0.893939393939394,0.427404718693285,0.451951951951952,0.832258064516129,0.567049808429119,0.327044025157233,-0.393985587583149,0.150684931506849,0.217237308146399,0.125,0.357843137254902,0.138882622753591,0.418416801292407,0.377880184331797,9497,6,34772,-0.0806972240154939,-0.477040816326531,0.522130124692831,-1.87491463394868,0.383086101117612,-0.302901084154961,-21.659623280456,-3.09806536727008,-1.39157460299219,1.06287871900299,-20.5148860585739,-3.15878892668329
10,1019,21.344037,57.188073,35.353211,24.885321,0,32.899083,28.629357798,39.411009174,11.344037,26.293578,28.545872,10,0,21.582569,16.305963303,20.745412844,-0.0372881355932203,0.0600292825768668,0.263157894736842,0.666666666666667,-0.0857787810383747,0.0814814814814815,0.766666666666667,0.201643489254109,0.333333333333333,0.50354609929078,0.325153374233129,0.777777777777778,-0.333333333333333,0.125,0.0772727272727273,0.0919540229885057,0.404255319148936,0.377926421404682,0.388888888888889,0.355269109000452,0.000365666366007655,0.294871794871795,0.359580052493438,0.127896200185357,-0.491379310344828,0.354005167958656,0.1,0.477442730247779,0.599537037037037,-0.024132730015083,0.209459459459459,0.00662251655629139,0.632432432432433,0.565217391304348,0.955357142857143,0.4,0.452282157676349,0.82258064516129,0.651488616462347,0.388888888888889,-0.407407407407407,0.15929203539823,0.212180746561886,0.293333333333333,0.439024390243902,0.238319823139278,0.293929712460064,0.446280991735537,3258,8,24971,0.0372881355932203,-0.354005167958656,-0.337496305129995,0.85256289049655,0.958027973918937,0.511819719522309,14.0426471779306,1.84201301452926,0.861446049222641,-1.13041450337681,13.1728165747498,2.50926351352469
